Name,Address,Description
Kilmainham Gaol,"Inchicore Road, Kilmainham, Dublin, Ireland","1916 Rising executions, €8 (~$9), book 28 days ahead"
Collins Barracks,"Benburb Street, Dublin, Ireland","Free, Proclaiming a Republic exhibition"
GPO & Witness History,"O'Connell Street, Dublin, Ireland","1916 rebel HQ, bullet holes visible"
Glasnevin Cemetery,"Finglas Road, Dublin, Ireland","de Valera, Collins, Markievicz graves"
EPIC Emigration Museum,"CHQ Building, Custom House Quay, Dublin, Ireland","Interactive, ~€17 (~$19)"
Kevin & Howlin,"31 Nassau Street, Dublin, Ireland","Donegal tweed since 1936"
Kilbeggan Distillery,"Lower Main Street, Kilbeggan, Co. Westmeath, Ireland","Ireland's oldest (1757), €35 (~$38) tour"
Charlie Byrne's Bookshop,"Middle Street, Galway, Ireland","35,000+ titles, new/secondhand/rare"
Spanish Arch,"Spanish Arch, Galway, Ireland","16th-century arch, Long Walk views"
Galway City Museum,"Spanish Parade, Galway, Ireland","Free, local history"
Micil Distillery,"Salthill, Galway, Ireland","6th gen family poitin/whiskey, 75-min tours"
Cliffs of Moher,"Liscannor, Co. Clare, Ireland","214m sea cliffs, €8 (~$9), 1-2 hours"
Poulnabrone Dolmen,"Burren, Co. Clare, Ireland","5,800-year-old portal tomb, free"
Burren Perfumery,"Carran, Burren, Co. Clare, Ireland","Free admission, 10am-5pm"
Slea Head Drive,"Dingle Peninsula, Co. Kerry, Ireland","38km scenic loop, 2.5-3.5 hours"
Gallarus Oratory,"Dingle Peninsula, Co. Kerry, Ireland","7th-century stone chapel, still watertight"
Fahan Beehive Huts,"Slea Head Drive, Dingle, Co. Kerry, Ireland","2,000-year-old stone huts, €4 (~$4)"
Dunmore Head,"Slea Head Drive, Dingle, Co. Kerry, Ireland","Westernmost point of mainland Ireland"
Connor Pass,"Dingle Peninsula, Co. Kerry, Ireland","Highest mountain pass in Ireland"
Blasket Centre,"Dunquin, Dingle, Co. Kerry, Ireland","Museum of Great Blasket island, €5 (~$5)"
English Market,"Grand Parade, Cork, Ireland","Covered market since 1788, free, Mon-Sat 8am-6pm"
Shandon Bells & Tower,"Church Street, Cork, Ireland","Ring bells yourself, €5 (~$5)"
Charles Fort,"Summer Cove, Kinsale, Co. Cork, Ireland","17th-century star fort, €5 (~$5)"
Cobh Heritage Centre,"Cobh, Co. Cork, Ireland","Last port for Titanic"
Jameson Experience Midleton,"Distillery Walk, Midleton, Co. Cork, Ireland","Whiskey distillery tour"
Rock of Cashel,"Cashel, Co. Tipperary, Ireland","Medieval cathedral cluster, €8 (~$9)"
Cahir Castle,"Castle Street, Cahir, Co. Tipperary, Ireland","13th-century, best-preserved medieval castle, €5 (~$5)"
Kilkenny Castle,"The Parade, Kilkenny, Ireland","13th-century castle, free OPW grounds"
Timoleague Friary,"Timoleague, Co. Cork, Ireland","13th-century Franciscan ruin, free"
Michael Collins House,"Emmet Square, Clonakilty, Co. Cork, Ireland","War of Independence, Tue-Sat 10am-5pm"
Muckross House & Gardens,"Killarney National Park, Co. Kerry, Ireland","Victorian mansion, free gardens"
Gap of Dunloe,"Killarney, Co. Kerry, Ireland","Glacial valley, Wishing Bridge"
